District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Redding School District,1170011,528.0,527.0,29232,0.016,0.126,0.796,0.024,0.035,2021-22,,
Regional School District 01,2010012,0.0,0.0,36960,0.0,0.11,0.804,0.018,0.055,2021-22,,
Regional School District 04,2040012,227.0,229.0,27347,0.0,0.084,0.851,0.015,0.04,2021-22,,
Regional School District 05,2050012,705.0,700.0,22558,0.0,0.086,0.686,0.15,0.038,2021-22,,
Regional School District 06,2060012,303.0,301.0,23898,0.013,0.054,0.896,0.0,0.033,2021-22,,
Regional School District 07,2070012,255.0,256.0,25464,0.008,0.042,0.92,0.0,0.022,2021-22,,
Regional School District 08,2080012,366.0,366.0,22687,0.01,0.08,0.87,0.012,0.027,2021-22,,
Regional School District 10,2100012,962.0,961.0,19343,0.004,0.073,0.675,0.007,0.241,2021-22,,
Regional School District 11,2110012,98.0,97.0,27425,0.0,0.076,0.876,0.0,0.0,2021-22,,
Regional School District 12,2120012,282.0,281.0,29022,0.007,0.098,0.846,0.009,0.037,2021-22,,
Regional School District 13,2130012,623.0,618.0,27232,0.0,0.082,0.87,0.012,0.029,2021-22,,
Regional School District 14,2140012,595.0,593.0,22796,0.014,0.106,0.835,0.012,0.028,2021-22,,
Regional School District 15,2150012,1596.0,1592.0,23154,0.024,0.082,0.813,0.048,0.032,2021-22,,
Regional School District 16,2160012,874.0,873.0,20158,0.039,0.092,0.827,0.0,0.027,2021-22,,
Regional School District 17,2170012,798.0,796.0,24145,0.0,0.047,0.897,0.017,0.029,2021-22,,
Regional School District 18,2180012,527.0,527.0,24303,0.005,0.065,0.862,0.027,0.04,2021-22,,
Ridgefield School District,1180011,2018.0,2003.0,21115,0.007,0.09,0.79,0.065,0.046,2021-22,Fairfield,
Rocky Hill School District,1190011,1164.0,1162.0,19869,0.038,0.118,0.515,0.29,0.038,2021-22,,
Salem School District,1210011,263.0,263.0,20212,0.0,0.085,0.823,0.0,0.062,2021-22,,
Salisbury School District,1220011,185.0,185.0,28116,0.037,0.105,0.787,0.0,0.054,2021-22,,
Scotland School District,1230011,43.0,43.0,26551,0.0,0.0,0.887,0.0,0.0,2021-22,,
Seymour School District,1240011,946.0,945.0,18691,0.07,0.221,0.652,0.036,0.0,2021-22,,
Sharon School District,1250011,63.0,63.0,51470,0.0,0.062,0.876,0.0,0.0,2021-22,,
Shelton School District,1260011,2123.0,2117.0,17911,0.082,0.23,0.593,0.051,0.043,2021-22,Fairfield,
Sherman School District,1270011,156.0,154.0,25082,0.0,0.083,0.826,0.0,0.06,2021-22,,
Side By Side Charter School District,2700013,130.0,130.0,14735,0.254,0.576,0.102,0.025,0.042,2021-22,,
Simsbury School District,1280011,1850.0,1848.0,20177,0.057,0.112,0.712,0.065,0.0,2021-22,Hartford,
Somers School District,1290011,608.0,608.0,20674,0.024,0.055,0.888,0.0,0.02,2021-22,,
South Windsor School District,1320011,2343.0,2327.0,17234,0.06,0.105,0.578,0.308,0.048,2021-22,Hartford,
Southington School District,1310011,2768.0,2762.0,17952,0.025,0.12,0.76,0.044,0.049,2021-22,Hartford,
Sprague School District,1330011,173.0,172.0,19268,0.025,0.178,0.63,0.0,0.145,2021-22,,
Stafford School District,1340011,608.0,604.0,22633,0.008,0.087,0.859,0.0,0.036,2021-22,,
Stamford Charter School for Excellence District,2960013,297.0,297.0,10994,0.43,0.255,0.037,0.239,0.03,2021-22,,
Stamford School District,1350011,7117.0,7094.0,22321,0.134,0.502,0.264,0.063,0.034,2021-22,Fairfield,
Sterling School District,1360011,195.0,195.0,19662,0.025,0.093,0.796,0.0,0.08,2021-22,,
Stonington School District,1370011,756.0,755.0,22693,0.008,0.075,0.833,0.018,0.062,2021-22,,
Stratford School District,1380011,2982.0,2947.0,20037,0.26,0.403,0.276,0.023,0.035,2021-22,Fairfield,
Suffield School District,1390011,867.0,865.0,19675,0.038,0.09,0.812,0.045,0.012,2021-22,,
The Bridge Academy District,2690013,96.0,96.0,16552,0.514,0.461,0.0,0.0,0.0,2021-22,,
